STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN001080500,"BEGUMPET OBSERVATORY, IN",25-03-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-03-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-03-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-03-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-03-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-03-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",31-03-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-04-1970,0.13,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-04-1970,0.07,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-04-1970,0.63,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-04-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-04-1970,0.04,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-04-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-04-1970,0,,,
