"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-21","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-22","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-23","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-24","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-25","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-26","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-27","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-28","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-29","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-30","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-03-31","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-01","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-02","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-03","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-04","0.13",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-05","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-06","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-07","0.07",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-08","0.63",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-09","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-10","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-11","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-12","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-13","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-14","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-15","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-16","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-17","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-18","0.04",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-19","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-20","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-21","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-22","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-23","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-24","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-25","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-26","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-27","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-28","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-29","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-04-30","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-01","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-02","0.36",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-03","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-04","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-05","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-06","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-07","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-08","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-09","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-10","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-11","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-12","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-13","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-14","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-15","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-16","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-17","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-18","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-19","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-20","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-21","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-22","0.30",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-23","0.78",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-24","0.28",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-25","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-26","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-27","0.04",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-28","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-29","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-30","1.32",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-05-31","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-01","0.03",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-02","0.86",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-03","0.34",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-04","0.05",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-05","0.06",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-06","0.07",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-07","0.42",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-08","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-09","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-10","0.34",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-11","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-12","0.29",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-13","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-14","0.54",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-15","0.08",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-16","0.01",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-17","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-18","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-19","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-20","0.11",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-21","0.67",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-22","0.98",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-23","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-24","0.11",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-25","0.03",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-26","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-27","0.43",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-28","0.15",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-29","1.23",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-06-30","0.06",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-01","0.06",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-02","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-03","0.43",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-04","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-05","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-06","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-07","0.19",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-08","0.06",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-09","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-10","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-11","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-12","0.03",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-13","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-14","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-15","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-16","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-17","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-18","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-19","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-20","0.57",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-21","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-22","0.00",,,
